@RELATION bites

@ATTRIBUTE xStandardDev NUMERIC
@ATTRIBUTE yStandardDev NUMERIC
@ATTRIBUTE zStandardDev NUMERIC
@ATTRIBUTE xMean NUMERIC
@ATTRIBUTE yMean NUMERIC
@ATTRIBUTE zMean NUMERIC
@ATTRIBUTE class {Bite, Non-Bite}

@DATA
2.213352156,0.95011923,1.325420027,-1.143419571,-0.130858782,9.585966261,Bite
0.847099116,0.934997572,1.394166602,1.967945677,0.459394873,9.750612341,Bite
1.27023733,0.956239168,1.620347006,2.158630537,0.17317299,9.715004853,Bite
1.156380299,0.91552463,1.516352993,1.4673006,0.295561548,9.794197457,Bite
1.733159565,1.058069545,1.648977786,2.272652296,0.04728206,9.536967482,Bite
1.211943483,0.826597024,1.359573386,1.914612283,-0.049986673,9.738684778,Bite
1.434141693,1.075409052,1.592930019,1.568610039,0.160720104,9.699049624,Bite
1.533223816,0.761490107,1.642207112,2.420335777,-0.26520763,9.602539689,Bite
1.543154022,1.151718465,1.743565242,2.310789276,-0.078803438,9.582303759,Bite
1.637209421,1.245573914,1.961441213,1.752938749,0.050395285,9.677257069,Bite
1.538486935,0.863782109,1.430327437,1.498821993,0.001167457,9.774545257,Bite
2.299673679,1.400396642,1.219652354,-1.559289458,0.765303299,9.351570497,Bite
1.707973985,1.842031051,1.608162145,-2.596310685,2.626003037,8.617321568,Bite
2.215709816,1.996011118,1.880097238,-2.20404467,2.404536183,8.698226423,Bite
2.494205697,2.770835498,2.285410855,-1.445572888,2.27845718,8.592623377,Bite
2.223293707,2.390026186,1.912732922,-1.821040492,2.0632881,8.824039616,Bite
1.687802193,2.250904977,1.720928304,-2.094614909,2.595065396,8.861009094,Bite
2.583646901,2.146389179,2.206942746,-3.473415682,2.229423914,8.066650935,Bite
3.204774038,2.205263439,2.266043046,-0.785894059,1.116868517,8.769960286,Bite
2.288342258,1.731500064,2.047284713,-3.720106118,2.940438475,7.897272192,Bite
1.378372653,2.794083384,1.5349996,-0.998902446,2.066368339,8.762269764,Bite
1.214177223,3.10346459,1.898428909,-1.14972761,1.970864313,8.631725037,Bite
1.361126904,3.011602659,2.025644353,-1.1927533,1.899843929,8.672853667,Bite
1.526813655,2.613954554,1.714297166,-0.269682893,1.419045658,9.00227153,Bite
1.204352191,2.940088915,1.750765774,-1.193726181,1.990711096,8.745430626,Bite
1.632539359,3.426159802,2.008307648,-0.646455754,1.760089432,8.557494164,Bite
1.031386649,2.900275872,1.855613053,-1.045437355,0.78120261,9.00804384,Bite
1.344453199,2.791152891,1.713555833,-0.83084121,0.802068225,9.067065379,Bite
1.291656977,3.170541331,1.789156972,-0.806154337,1.230257899,8.845564491,Bite
